person,personLabel,arTitle,enTitle,image
http://www.wikidata.org/entity/Q400907,أحمد الجابر الصباح,أحمد الجابر الصباح,Ahmad Al-Jaber Al-Sabah,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%A3%D8%AD%D9%85%D8%AF%20%D8%A7%D9%84%D8%AC%D8%A7%D8%A8%D8%B1%20%D8%A7%D9%84%D8%B5%D8%A8%D8%A7%D8%AD.jpg
http://www.wikidata.org/entity/Q401135,أحمد بن محمد بن حشر آل مكتوم,أحمد بن محمد بن حشر آل مكتوم,Ahmed Al-Maktoum (sport shooter),
http://www.wikidata.org/entity/Q401328,أحمد إبراهيم ورسما,,Ahmed Ibrahim Warsama,
http://www.wikidata.org/entity/Q401574,أحمد زكي يماني,أحمد زكي يماني,Ahmed Zaki Yamani,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmad%20Zaki%20Yamani.jpg
http://www.wikidata.org/entity/Q401634,أحمد بن راشد آل مكتوم,أحمد بن راشد آل مكتوم,Ahmed bin Rashid Al Maktoum,
http://www.wikidata.org/entity/Q401645,أحمد بن عبد العزيز آل سعود,أحمد بن عبد العزيز آل سعود,Ahmed bin Abdulaziz Al Saud,http://commons.wikimedia.org/wiki/Special:FilePath/Othman-Swieed3.jpg
http://www.wikidata.org/entity/Q403437,إسماعيل مطر,إسماعيل مطر,Ismail Matar,http://commons.wikimedia.org/wiki/Special:FilePath/Ismail%20Matar%20QAT-UAE%2020190129%20Asian%20Cup%208%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q428820,بكر بن محمد بن عوض بن لادن,بكر بن محمد بن عوض بن لادن,Bakr bin Laden,
http://www.wikidata.org/entity/Q429448,محمد المضيحكي,محمد المضيحكي,Mohammed Al-Modiahki,http://commons.wikimedia.org/wiki/Special:FilePath/Mohamad%20Al-Modiahki%20%28QAT%29%20ol%202014.jpg
http://www.wikidata.org/entity/Q429482,وليد جاسم,وليد جاسم,Waleed Jassem,
http://www.wikidata.org/entity/Q432772,ثريا عبيد,ثريا عبيد,Thoraya Obaid,http://commons.wikimedia.org/wiki/Special:FilePath/Thoraya%20Obaid%20UNDP%202009.jpg
http://www.wikidata.org/entity/Q433878,ناديا إيجافيني,ناديا إيجافيني,Nadia Ejjafini,http://commons.wikimedia.org/wiki/Special:FilePath/Nadia%20Ejjafini%202007.jpg
http://www.wikidata.org/entity/Q712839,حمدان بن راشد آل مكتوم,حمدان بن راشد آل مكتوم,Hamdan bin Rashid Al Maktoum,http://commons.wikimedia.org/wiki/Special:FilePath/Sheikh%20Hamdan%20bin%20Rashid%20Al%20Maktoum.jpg
http://www.wikidata.org/entity/Q716409,خلفان إبراهيم,خلفان إبراهيم,Khalfan Ibrahim,http://commons.wikimedia.org/wiki/Special:FilePath/Khalfan%20Ibrahim2.jpg
http://www.wikidata.org/entity/Q725992,محمد أمين الغامدي,محمد أمين حيدر,Mohammed Ameen,
http://www.wikidata.org/entity/Q726604,محمد خوجة,محمد خوجة (لاعب كرة قدم),Mohammad Khouja,http://commons.wikimedia.org/wiki/Special:FilePath/%D9%85%D8%AD%D9%85%D8%AF%20%D8%AE%D9%88%D8%AC%D8%A9.jpg
http://www.wikidata.org/entity/Q726662,نايف القاضي,نايف القاضي,Naif Al-Qadi,
http://www.wikidata.org/entity/Q730188,حسين غلوم,حسين غلوم,Hussain Ghuloum,
http://www.wikidata.org/entity/Q733312,راشد بن سعيد آل مكتوم,راشد بن سعيد آل مكتوم,Rashid bin Saeed Al Maktoum,http://commons.wikimedia.org/wiki/Special:FilePath/His%20Highness%20Rashid%20bin%20Saeed%20Al%20Maktoum.png
http://www.wikidata.org/entity/Q734627,فلاج الشنار,فلاج الشنار,Fallaj Al-Shanar,
http://www.wikidata.org/entity/Q738921,هاني حنجور,هاني حنجور,Hani Hanjour,http://commons.wikimedia.org/wiki/Special:FilePath/HHanjour0.JPG
http://www.wikidata.org/entity/Q739618,إبراهيم الدوي,إبراهيم الدوي,Ibrahim Youssef Al-Doy,
http://www.wikidata.org/entity/Q740311,سلطان الحبشي,سلطان الحبشي,Sultan Al-Hebshi,
http://www.wikidata.org/entity/Q742051,خالد بن سلطان بن عبد العزيز آل سعود,خالد بن سلطان بن عبد العزيز آل سعود,Khalid bin Sultan Al Saud,http://commons.wikimedia.org/wiki/Special:FilePath/DA-ST-92-08034-C.jpg
http://www.wikidata.org/entity/Q743252,عمر ياغي,عمر ياغي,Omar M. Yaghi,http://commons.wikimedia.org/wiki/Special:FilePath/Yaghi3.jpg
http://www.wikidata.org/entity/Q1398150,محمد بن صالح العثيمين,محمد بن صالح العثيمين,Al-Uthaymin,http://commons.wikimedia.org/wiki/Special:FilePath/Ibn%20Uthaymeen%201968%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q1398873,فوزي الشهري,فوزي الشهري,Fouzi Al-Shehri,
http://www.wikidata.org/entity/Q1401218,خالد العيد,خالد العيد,Khaled Al-Eid,
http://www.wikidata.org/entity/Q1441884,عادلة بنت عبد الله بن عبد العزيز آل سعود,عادلة بنت عبد الله بن عبد العزيز آل سعود,Adila bint Abdullah Al Saud,
http://www.wikidata.org/entity/Q1441910,سارة بنت طلال بن عبد العزيز آل سعود,سارة بنت طلال بن عبد العزيز آل سعود,Sara bint Talal Al Saud,
http://www.wikidata.org/entity/Q1448028,نزار بن عبيد مدني,نزار بن عبيد مدني,Nizar Madani,http://commons.wikimedia.org/wiki/Special:FilePath/Dr.%20Nizar%20Bin%20Obaid%20Madani%2C%20Minister%20of%20State%20for%20Foreign%20Affairs%2C%20Kingdom%20of%20Saudi%20Arabia.jpg
http://www.wikidata.org/entity/Q1506846,إبراهيم حسن عسيري,إبراهيم حسن عسيري,Ibrahim al-Asiri,
http://www.wikidata.org/entity/Q1523720,محمد عباس درويش,,Mohamed Abbas Darwish,
http://www.wikidata.org/entity/Q1527849,جمال العبد الله,,Jamal Al-Abdullah,
